Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
1352,596922532,8104,8192,15,17.82,2239.86,1000,998,0,0,0,1357280,0,8.02738,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
2670,596922532,8105,8192,21,17.876,4385.54,1000,1000,0,0,0,1360000,0,8.25697,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
3980,596922532,8105,8192,20,17.826,2054.89,1000,995,0,0,0,1353200,0,8.26116,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
5294,596922532,8105,8192,21,17.823,3113.53,1000,999,0,0,0,1358640,0,8.27223,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
6615,596922532,8104,8192,21,17.869,1988.51,1000,1004,0,0,0,1365440,0,8.26867,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
7927,596922532,8104,8192,20,17.917,3583.68,1000,996,0,0,0,1354560,0,8.26297,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
9242,596922532,8103,8192,20,18.025,2764.3,1000,999,0,0,0,1358640,0,8.26597,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
10559,596922532,8105,8192,15,17.748,2513.5,1000,1003,0,0,0,1364080,0,8.28381,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
11880,596922532,8105,8192,17,18.478,3118.13,1000,1003,0,0,0,1364080,0,8.26334,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
13190,596922532,8105,8192,18,17.748,2256.49,1000,1000,0,0,0,1360000,0,8.30464,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
14510,596922532,8105,8192,21,17.763,2643.55,1000,998,0,0,0,1357280,0,8.22403,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
15821,596922532,8102,8192,20,18.02,3531.2,1000,996,0,0,0,1354560,0,8.26507,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
17139,596922532,8104,8192,20,18.152,814.908,1000,1001,0,0,0,1361360,0,8.26278,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
18454,596922532,8105,8192,14,17.802,982.212,1000,1001,0,0,0,1361360,0,8.28363,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
19776,596922532,8106,8192,21,17.832,3478.45,1000,1003,0,0,0,1364080,0,8.25588,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
21087,596922532,8105,8192,22,17.821,2833.93,1000,997,0,0,0,1355920,0,8.26994,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
22403,596922532,8105,8192,15,17.795,2942.4,1000,1001,0,0,0,1361360,0,8.28099,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
23718,596922532,8105,8192,15,17.82,1178.12,1000,998,0,0,0,1357280,0,8.25393,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
25039,596922532,8099,8192,20,17.878,1531.88,1000,1003,0,0,0,1364080,0,8.26189,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
26351,596922532,8104,8192,20,18.136,3970.72,1000,997,0,0,0,1355920,0,8.2676,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
27668,596922532,8102,8192,22,17.988,1537.37,1000,1001,0,0,0,1361360,0,8.27074,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
28989,596922532,8098,8192,21,17.836,2237,1000,1005,0,0,0,1366800,0,8.27489,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
30303,596922532,8104,8192,20,17.863,2270.1,1000,997,0,0,0,1355920,0,8.25738,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
31615,596922532,8103,8192,14,17.844,1332.41,1000,1000,0,0,0,1360000,0,8.28866,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
32932,596922532,8105,8192,21,17.815,3305.75,1000,998,0,0,0,1357280,0,8.2504,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
34246,596922532,8104,8192,21,18.065,3128.33,1000,999,0,0,0,1358640,0,8.27026,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
35564,596922532,8105,8192,17,17.745,1306.69,1000,1005,0,0,0,1366800,0,8.29599,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
36881,596922532,8105,8192,21,18.024,1218.26,1000,997,0,0,0,1355920,0,8.2379,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
38194,596922532,8104,8192,15,17.78,2934.3,1000,1000,0,0,0,1360000,0,8.28183,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
39515,596922532,8102,8192,21,17.933,2444.22,1000,1002,0,0,0,1362720,0,8.25281,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
40827,596922532,8104,8192,20,17.752,1925.5,1000,996,0,0,0,1354560,0,8.26046,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
42142,596922532,8114,8192,27,20.209,2567.22,1000,1005,0,0,0,1366800,0,8.3184,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
43466,596922532,8104,8192,20,17.756,3147.73,1000,1000,0,0,0,1360000,0,8.21672,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
44780,596922532,8104,8192,22,17.777,1458.41,1000,999,0,0,0,1358640,0,8.27218,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
46093,596922532,8105,8192,16,17.827,3533.66,1000,1001,0,0,0,1361360,0,8.28983,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
47407,596922532,8105,8192,20,17.786,3208.45,1000,995,0,0,0,1353200,0,8.24267,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
48730,596922532,8105,8192,20,17.775,3065.87,1000,1005,0,0,0,1366800,0,8.26581,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
50045,596922532,8093,8192,8,17.915,2576.64,1000,1000,0,0,0,1360000,0,8.27312,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
51354,596922532,8105,8192,21,17.817,3770.47,1000,995,0,0,0,1353200,0,8.26693,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
52675,596922532,8105,8192,21,17.784,3559.38,1000,1004,0,0,0,1365440,0,8.26795,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
53986,596922532,8105,8192,21,17.79,3535.46,1000,996,0,0,0,1354560,0,8.26697,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
55307,596922532,8105,8192,20,17.708,4659.86,1000,1003,0,0,0,1364080,0,8.26169,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
56617,596922532,8106,8192,16,17.74,5241.5,1000,998,0,0,0,1357280,0,8.28732,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
57933,596922532,8105,8192,20,17.719,3070.33,1000,998,0,0,0,1357280,0,8.25044,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
59256,596922532,8104,8192,20,17.733,4012.45,1000,1005,0,0,0,1366800,0,8.26697,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
60568,596922532,8104,8192,20,17.82,3522.6,1000,997,0,0,0,1355920,0,8.26942,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
61890,596922532,8105,8192,21,17.659,3077.3,1000,1005,0,0,0,1366800,0,8.26865,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
63200,596922532,8105,8192,20,17.768,1031.82,1000,995,0,0,0,1353200,0,8.26291,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
64513,596922532,8105,8192,14,17.801,2341.02,1000,999,0,0,0,1358640,0,8.28016,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
65835,596922532,8105,8192,13,17.737,1849.7,1000,1004,0,0,0,1365440,0,8.26013,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
67147,596922532,8106,8192,22,17.818,2706.92,1000,997,0,0,0,1355920,0,8.26804,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
68461,596922532,8104,8192,16,17.776,2524.37,1000,1001,0,0,0,1361360,0,8.29086,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
69779,596922532,8101,8192,21,17.709,3616.55,1000,999,0,0,0,1358640,0,8.24404,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
71100,596922532,8104,8192,20,17.796,2286.44,1000,1003,0,0,0,1364080,0,8.26542,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
72416,596922532,8106,8192,19,22.933,2973,1000,1001,0,0,0,1361360,0,8.2711,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
73733,596922532,8105,8192,13,17.727,1947.55,1000,1000,0,0,0,1360000,0,8.26284,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
75046,596922532,8105,8192,15,17.777,3229.57,1000,1000,0,0,0,1360000,0,8.28606,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
76359,596922532,8102,8192,20,17.884,3635.6,1000,995,0,0,0,1353200,0,8.24882,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
77681,596922532,8105,8192,21,17.67,3159.65,1000,1005,0,0,0,1366800,0,8.27023,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
