Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
2133,797161664,679347,679347,0,42.803,1393.37,1000,0,0,0,0,0,0,0,12,1955,0,0,0,0,2658800,0,0,9.96962,1000,0,0,0,0
3185,797161664,679347,679347,0,43.018,1327.44,1000,0,0,0,0,0,0,0,12,2957,0,0,0,0,4021520,0,0,10.0987,1000,0,0,0,0
4244,797161664,679347,679347,0,43.127,1419.96,1000,0,0,0,0,0,0,0,12,3964,0,0,0,0,5391040,0,0,10.1604,1000,0,0,0,0
5293,797161664,679347,679347,0,42.975,1798.37,1000,0,0,0,0,0,0,0,12,4962,0,0,0,0,6748320,0,0,10.1985,1000,0,0,0,0
6342,797161664,679347,679347,0,42.914,1434.49,1000,0,0,0,0,0,0,0,12,5950,0,0,0,0,8092000,0,0,10.2066,1000,0,0,0,0
7395,797161664,679347,679347,0,42.701,1247.64,1000,0,0,0,0,0,0,0,12,6956,0,0,0,0,9460160,0,0,10.234,1000,0,0,0,0
8451,797161664,679347,679347,0,43.167,1303.78,1000,0,0,0,0,0,0,0,12,7953,0,0,0,0,10816080,0,0,10.2379,1000,0,0,0,0
9503,797161664,679347,679347,0,42.838,1299.37,1000,0,0,0,0,0,0,0,12,8961,0,0,0,0,12186960,0,0,10.2586,1000,0,0,0,0
10563,797161664,679347,679347,0,43.09,1462.69,1000,0,0,0,0,0,0,0,12,9962,0,0,0,0,13548320,0,0,10.2603,1000,0,0,0,0
11612,797161664,679347,679347,0,43.232,1190.84,1000,0,0,0,0,0,0,0,12,10964,0,0,0,0,14911040,0,0,10.2723,1000,0,0,0,0
12660,797161664,679347,679347,0,43.701,1475.64,1000,0,0,0,0,0,0,0,12,11957,0,0,0,0,16261520,0,0,10.2753,1000,0,0,0,0
13710,797161664,679347,679347,0,42.995,1390.92,1000,0,0,0,0,0,0,0,12,12954,0,0,0,0,17617440,0,0,10.2795,1000,0,0,0,0
